"","PID","Trial","Enc_or_Ret","CA1","CA3"
"89","20230530_SDT04",29,2,-0.275796464785,-0.515700103730165
"90","20230530_SDT04",30,2,-0.502332430439776,-0.215997924959405
"91","20230530_SDT04",31,2,-0.359503969243411,-1.50461550962667
"92","20230530_SDT04",32,2,0.423776869341108,-0.678544065382684
"93","20230530_SDT04",33,2,0.22295246394589,-1.68493876760104
"94","20230530_SDT04",34,2,0.188303180793917,-3.03309732248612
"95","20230530_SDT04",35,2,0.0570823856621605,-1.20683877015537
"96","20230530_SDT04",36,2,-0.193247120348889,-0.473914193182445
"97","20230530_SDT04",37,2,0.616489064272265,0.183653384481918
"98","20230530_SDT04",38,2,-0.838558042863019,-1.68751641117573
"99","20230530_SDT04",39,2,-0.835445521063768,-1.19050813142026
"100","20230530_SDT04",40,2,-0.384147302021357,-0.385848818303228
"101","20230530_SDT04",41,2,0.0695918800069377,-0.0183368334580246
"102","20230530_SDT04",42,2,-0.305591407319481,-0.663504909463898
"103","20230530_SDT04",43,2,-0.204560696217941,0.302404601499438
"104","20230530_SDT04",44,2,0.234931043692323,0.334806066949491
"105","20230530_SDT04",45,2,0.595480599900976,1.46438402485371
"106","20230530_SDT04",46,2,0.560327975718387,0.781771136632374
"107","20230530_SDT04",47,2,0.184341869783658,0.880015585509439
"108","20230530_SDT04",48,2,-0.487369150453675,-1.54663131248325
"109","20230530_SDT04",49,2,0.422934567061509,-0.0234034540349836
"110","20230530_SDT04",50,2,0.476218501628428,-0.440389971182942
"111","20230530_SDT04",51,2,0.351821132934422,-0.0460849748060174
"112","20230530_SDT04",52,2,0.752206269905209,1.356387487392
"113","20230530_SDT04",53,2,-1.47388908545489,-1.36874372373578
"114","20230530_SDT04",54,2,0.687176763741928,0.477815048922239
"115","20230530_SDT04",55,2,-0.170004686952619,-0.304202915922747
"116","20230530_SDT04",56,2,0.197412138744385,0.781774132614242
"117","20230530_SDT04",57,2,-2.16739465120355,-3.42130877495081
"118","20230530_SDT04",58,2,0.125877729487506,-0.0378071230081086
"119","20230530_SDT04",59,2,0.150630039144606,0.43525657835878
"120","20230530_SDT04",60,2,-0.616863254445667,-0.915444636115855
"121","20230530_SDT04",61,2,0.285725376288427,0.77908971871392
"122","20230530_SDT04",62,2,0.485106139165678,0.361677285934261
"123","20230530_SDT04",63,2,0.238659556446638,1.04072838827238
"124","20230530_SDT04",64,2,-0.619976759378059,0.203095876193933
"125","20230530_SDT04",65,2,-0.187051897617249,0.641848681220651
"126","20230530_SDT04",66,2,-0.337879757211187,0.678680431910765
"127","20230530_SDT04",67,2,-0.226082103732108,-1.45725814456808
"128","20230530_SDT04",68,2,-0.338503339441444,0.623280537050419
"129","20230530_SDT04",69,2,0.201054436780685,-0.363257004929128
"130","20230530_SDT04",70,2,0.128517024212433,1.04402242057898
"131","20230530_SDT04",71,2,-0.0212728635210204,0.524958070663752
"132","20230530_SDT04",72,2,-0.393194198383914,-0.252867678797443
"133","20230530_SDT04",73,2,1.61232894024579,-0.315834819246923
"134","20230530_SDT04",74,2,-0.555940877605242,-1.80212935131245
"135","20230530_SDT04",75,2,-0.0694828597727127,-0.612112620313492
"136","20230530_SDT04",76,2,-0.44494047429435,-0.202078764562638
"137","20230530_SDT04",77,2,-0.0645251336573289,-0.283454887740113
"138","20230530_SDT04",78,2,0.208614603766158,0.652731808800217
"139","20230530_SDT04",79,2,-0.0157792728000268,0.337995349544075
"140","20230530_SDT04",80,2,-0.552380497670564,-0.442391886995677
"141","20230530_SDT04",81,2,-0.245491272456727,0.530497384087292
"142","20230530_SDT04",82,2,-1.13110424223245,0.514762031114115
"143","20230530_SDT04",83,2,-0.841396552283476,0.901514955838253
"144","20230530_SDT04",84,2,-0.558184442577565,0.621701747939507
"145","20230530_SDT04",85,2,-0.938550730010549,0.717968740409895
"146","20230530_SDT04",86,2,-1.05334479932017,-0.00594286717608705
"147","20230530_SDT04",87,2,-0.305827484838126,-0.0953997250948403
"148","20230530_SDT04",88,2,-0.969954305276396,-1.21542866695337
"149","20230530_SDT04",89,2,0.488944912315162,-0.950835676650676
"150","20230530_SDT04",90,2,0.372343131323248,-1.21058721623954
"151","20230530_SDT04",91,2,-1.27262823284119,-1.39521932492435
"152","20230530_SDT04",92,2,0.0474293155880829,-0.731379839851781
"153","20230530_SDT04",93,2,0.347631755997367,-0.614005189024013
"154","20230530_SDT04",94,2,0.0611855304799546,-0.724831442999746
"155","20230530_SDT04",95,2,0.736969253010576,-0.0270731478803665
"156","20230530_SDT04",96,2,0.468434897993155,-0.698212763227455
"157","20230530_SDT04",97,2,0.110592998466048,-0.680681325137397
"158","20230530_SDT04",98,2,-0.101144446020074,-1.13583886896235
"159","20230530_SDT04",99,2,-0.987333362066379,-1.33283353501067
"160","20230530_SDT04",100,2,-0.0372364458095539,-0.615598537251804
"161","20230530_SDT04",101,2,-0.0201696384732209,-0.137786652682232
"162","20230530_SDT04",102,2,0.719049026820679,0.0293954584474868
"163","20230530_SDT04",103,2,0.61921194468235,0.918348307780888
"164","20230530_SDT04",104,2,-0.0843849897713835,-0.487487190153643
"165","20230530_SDT04",105,2,-1.40792334386617,-0.516645713005349
"166","20230530_SDT04",106,2,0.690811990207355,0.743331456240392
"167","20230530_SDT04",107,2,-0.383198188136451,-1.93153006626578
"168","20230530_SDT04",108,2,0.244895912438742,0.0527064315456612
"169","20230530_SDT04",109,2,-0.228237141735873,0.0367174857837224
"170","20230530_SDT04",110,2,0.165451970353831,-0.575712033018873
"171","20230530_SDT04",111,2,-0.181554138523839,-0.778321383198026
"172","20230530_SDT04",112,2,0.495203713102104,-0.631315961874065
"173","20230530_SDT04",113,2,0.131895394333391,-0.264517346249373
"174","20230530_SDT04",114,2,-1.59265010414066,-1.9196417625188
"175","20230530_SDT04",115,2,-0.109273827646797,0.187338745058304
"176","20230530_SDT04",116,2,0.53492662710619,0.436054974494513
"177","20230530_SDT04",117,2,-0.585471842761304,-0.944291931102346
"178","20230530_SDT04",118,2,-1.78619629852057,-0.650836104595916
"179","20230530_SDT04",119,2,-1.01961582030613,-0.93970219817281
"180","20230530_SDT04",120,2,-0.439823501363559,-0.872120743110642
"181","20230601_DLT05",1,1,-0.291440815768876,0.119162997229611
"182","20230601_DLT05",2,1,-0.0654173676077078,-0.216446643820385
"183","20230601_DLT05",3,1,-0.190330077898449,-0.617633179573673
"184","20230601_DLT05",4,1,0.18195469013108,-0.449462285765344
"185","20230601_DLT05",5,1,0.42492776677178,0.964278531421367
"186","20230601_DLT05",6,1,0.513779173911505,-0.118302186644624
"187","20230601_DLT05",7,1,0.759287321413672,-0.377099033733895
"188","20230601_DLT05",8,1,0.709459725702596,0.878985862089795
"189","20230601_DLT05",9,1,0.602583165607746,0.351168548876611
"190","20230601_DLT05",10,1,0.275489420322665,-0.0168060066210011
"191","20230601_DLT05",11,1,0.254125991412804,-0.965660519358922
"192","20230601_DLT05",12,1,-1.21299135424047,-1.51519849909477
"193","20230601_DLT05",13,1,0.0593575942790755,-0.6792617974736
"194","20230601_DLT05",14,1,-0.600077847120017,0.0995619798046982
"195","20230601_DLT05",15,1,-0.596467562570471,-0.087214621309477
"196","20230601_DLT05",16,1,-0.0800331713864264,-0.0997002899585476
"197","20230601_DLT05",17,1,0.150198582139167,-0.110542045166026
"198","20230601_DLT05",18,1,-0.0359191976943202,-0.161831338927503
"199","20230601_DLT05",19,1,0.0722686889625856,0.0514216174284258
"200","20230601_DLT05",20,1,0.39490360832334,0.152573236398462
"201","20230601_DLT05",21,1,0.391425912345723,0.539910384418781
"202","20230601_DLT05",22,1,0.199341556488698,0.259062552977593
"203","20230601_DLT05",23,1,-0.26562262033289,0.147069737256477
"204","20230601_DLT05",24,1,0.572772243537285,0.663752642326748
"205","20230601_DLT05",25,1,0.212723859266168,-0.350898813742054
"206","20230601_DLT05",26,1,0.470166165096184,0.23735592931886
"207","20230601_DLT05",27,1,0.157481674477174,0.540702976261573
"208","20230601_DLT05",28,1,0.243247172634463,1.13516476791879
"209","20230601_DLT05",29,1,0.195972648351567,0.510218971328585
"210","20230601_DLT05",30,1,-0.0931011468639785,-0.394613075247782
"211","20230601_DLT05",31,1,-0.216897975988175,0.586477787494112
"212","20230601_DLT05",32,1,0.186119034491013,0.171160554035139
